 Время          Pitch          Roll           X             Y              Yaw             Z		 Волнограф  
 0.000         -0.8630        -6.1142        -85.4550       -12.4650       -0.5155         10.4400       -40.9110       
 0.050          0.0120         8.3983         150.4200      -39.2150       -0.7280         39.5650       -30.0980       
 0.100         -0.0130         8.8358         156.4200      -40.4650       -0.7655         38.3150       -18.8390       
 0.150         -0.0380         9.3109         162.2900      -42.4650       -0.8280         35.6900       -8.2492        
 0.200         -0.0130         9.4733         164.1700      -43.5900       -0.8655         33.0650        1.6721        
 0.250          0.0370         9.4984         164.0400      -44.4650       -0.8905         29.8150        10.4790       
 0.300          0.1745         9.3358         160.6700      -45.5900       -0.8905         24.0650        17.7250       
 0.350          0.3620         8.9108         153.2900      -46.4650       -0.8655         17.4400        23.7440       
 0.400          0.5245         8.5108         146.2900      -47.0900       -0.8405         12.5650        29.2060       
 0.450          0.8120         7.6858         133.1700      -47.2150       -0.7530         4.6900         32.6620       
 0.500          0.9995         7.0483         122.6700      -47.3400       -0.6905        -0.4350         34.6690       
 0.550          1.2995         5.9483         104.6700      -47.2150       -0.5655        -8.4350         36.0060       
 0.600          1.4870         5.1358         91.6700       -47.0900       -0.4780        -13.6850        36.2290       
 0.650          1.7245         3.8608         70.5450       -46.7150       -0.3280        -21.3100        36.0060       
 0.700          1.8370         2.9734         55.5450       -46.4650       -0.2280        -25.5600        35.2260       
 0.750          1.9370         2.0859         40.1700       -45.9650       -0.1155        -30.0600        34.2230       
 0.800          1.9620         0.7233         16.1700       -45.2150        0.0345        -35.0600        34.0000       
 0.850          1.9120        -0.5516        -8.5800        -44.3400        0.1970        -39.4350        34.4460       
 0.900          1.8120        -1.3766        -25.3300       -43.8400        0.2970        -41.6850        35.1150       
 0.950          1.5745        -2.5517        -50.8300       -42.5900        0.4470        -44.1850        36.5640       
 1.000          1.3245        -3.2516        -67.9550       -41.7150        0.5345        -44.0600        38.3470       
 1.050          0.9370        -4.2141        -92.4550       -40.4650        0.6470        -44.6850        38.9050       
 1.100          0.6245        -4.8017        -108.3300      -39.2150        0.7095        -44.1850        41.6920       
 1.150          0.1495        -5.5641        -130.4600      -37.4650        0.7720        -42.9350        43.9210       
 1.200         -0.1630        -5.9892        -143.7100      -36.2150        0.7970        -41.6850        45.7050       
 1.250         -0.5005        -6.3891        -155.8300      -34.7150        0.7970        -39.6850        46.4850       
 1.300         -0.9505        -6.8266        -170.9600      -32.7150        0.7720        -36.8100        46.7080       
 1.350         -1.3380        -7.1516        -182.2100      -30.5900        0.7095        -33.3100        45.9280       
